,Date,Average Price,Median Price,10th Percentile,90th Percentile,Std dev,Sample Size
0,06/11/2022,867789.56,850000.0,524000.0,1250000.0,303834.617,120
1,13/11/2022,952266.24,875000.0,497500.0,1477500.0,448923.051,120
2,20/11/2022,871647.03,812500.0,500000.0,1254500.0,327990.409,120
3,27/11/2022,898337.72,850000.0,532500.0,1335000.0,324512.391,114
4,04/12/2022,890525.88,820000.0,500000.0,1345000.0,347098.867,112
5,11/12/2022,827932.29,795000.0,479500.0,1250000.0,306829.606,82
6,18/12/2022,863356.7,795000.0,500000.0,1276000.0,426277.487,67
7,08/01/2023,874763.71,825000.0,500000.0,1240495.0,343522.55,102
8,15/01/2023,1002648.7,832500.0,522500.0,1692000.0,644627.145,120
9,22/01/2023,919498.74,837500.0,509000.0,1454500.0,403034.803,120
10,29/01/2023,947707.91,875000.0,575000.0,1395000.0,394919.51,120
11,05/02/2023,914198.33,762500.0,500000.0,1600500.0,526967.74,120
12,11/02/2023,881978.33,800000.0,500000.0,1250000.0,410478.301,120
13,19/02/2023,880249.16,800000.0,475000.0,1400000.0,368616.051,120
14,26/02/2023,995194.16,887500.0,594000.0,1550000.0,523403.996,120
15,05/03/2023,945870.83,805000.0,500000.0,1454500.0,799917.591,120
16,12/03/2023,860714.58,767500.0,500000.0,1350000.0,361420.591,120
17,19/03/2023,902011.24,797500.0,525000.0,1495500.0,419660.595,120
18,26/03/2023,876290.42,822500.0,525000.0,1205000.0,383552.557,120
19,02/04/2023,925406.67,757500.0,534000.0,1675000.0,540474.723,120
20,09/04/2023,894185.59,850000.0,550000.0,1350000.0,382016.088,101
21,16/04/2023,873331.62,797500.0,523800.0,1395000.0,369934.027,120
22,23/04/2023,964032.08,800000.0,518000.0,1495500.0,530515.937,120
23,07/05/2023,820349.08,725000.0,500000.0,1350000.0,327422.959,120
